EquipmentID,SiteID,EquipmentType,InstallDate,LastInspectionDate,NextDueDate,Status
1,1,"Eyewash Station",2023-12-18,2026-06-01,2027-06-01,Compliant
2,1,"Exit Sign",2025-02-22,2025-06-12,2026-06-12,Overdue
3,1,"SCBA Unit",2024-01-18,2025-09-11,2026-09-11,Compliant
4,1,"SCBA Unit",2024-11-05,2025-09-02,2026-09-02,Compliant
5,99999,"SCBA Unit",2023-12-07,,2024-12-06,Overdue
6,1,"Fire Alarm Panel",2021-08-18,2025-11-24,2026-11-24,Compliant
7,1,"Sprinkler System",2020-07-20,2026-01-28,2027-01-28,Compliant
8,1,"Eyewash Station",2021-05-26,,2022-05-26,Overdue
9,2,"Emergency Lighting",2025-01-31,2025-03-05,2026-03-05,Overdue
10,2,"Eyewash Station",2023-09-17,2025-01-21,2026-01-21,Overdue
11,2,"Gas Detector",2024-05-07,,2025-05-07,Overdue
12,2,"Emergency Lighting",2022-05-08,2026-03-06,2027-03-06,Compliant
13,2,"Exit Sign",2024-06-22,2026-03-23,2027-03-23,Compliant
14,2,"Sprinkler System",2019-04-29,2026-02-19,2027-02-19,Compliant
15,2,"Eyewash Station",2024-03-29,2025-01-28,2026-01-28,Overdue
16,2,"Eyewash Station",2025-04-30,2025-03-27,2026-03-27,Overdue
17,3,"Eyewash Station",2024-03-06,2025-09-24,2026-09-24,Compliant
18,3,"Gas Detector",2022-09-02,2025-12-01,2026-12-01,Compliant
19,3,"SCBA Unit",2023-04-02,2026-03-08,2027-03-08,Compliant
20,3,"Gas Detector",2019-12-02,2025-02-23,2026-02-23,Overdue
21,3,"Fire Extinguisher",2021-07-07,2025-02-11,2026-02-11,Overdue
22,4,"Emergency Lighting",2021-03-27,2025-06-06,2026-06-06,Overdue
23,4,"Emergency Lighting",2020-06-01,2025-04-28,2026-04-28,Overdue
24,4,"Sprinkler System",2024-03-19,2026-01-13,2027-01-13,Compliant
25,4,"SCBA Unit",2020-04-14,2025-06-17,2026-06-17,Overdue
26,4,"Eyewash Station",2020-03-18,2025-11-16,2026-11-16,Compliant
27,4,"Fire Alarm Panel",2023-06-13,2025-07-23,2026-07-23,Compliant
28,5,"Fire Alarm Panel",2020-02-22,2025-11-05,2026-11-05,Compliant
29,5,"Eyewash Station",2025-05-07,2025-12-22,2026-12-22,Compliant
30,5,"Gas Detector",2023-02-26,,2024-02-26,Overdue
31,5,"Fire Alarm Panel",2019-02-21,2026-05-17,2027-05-17,Compliant
32,5,"Sprinkler System",2023-11-11,2026-04-16,2027-04-16,Compliant
33,5,"SCBA Unit",2023-11-19,2026-06-19,2027-06-19,Compliant
34,6,"Gas Detector",2024-03-19,2025-10-02,2026-10-02,Compliant
35,6,"SCBA Unit",2021-10-02,2025-03-30,2026-03-30,Overdue
36,6,"Eyewash Station",2024-01-21,2026-04-21,2027-04-21,Compliant
37,6,"Gas Detector",2022-10-09,,2023-10-09,Overdue
38,6,"SCBA Unit",2021-01-14,2025-12-30,2026-12-30,Compliant
39,6,"Fire Extinguisher",2022-10-26,2025-10-10,2026-10-10,Compliant
40,6,"Emergency Lighting",2024-10-17,2025-03-29,2026-03-29,Overdue
41,6,"Exit Sign",2023-07-23,2025-09-04,2026-09-04,Compliant
42,6,"Fire Alarm Panel",2024-07-03,2025-01-18,2026-01-18,Overdue
43,6,"SCBA Unit",2022-04-20,2025-09-07,2026-09-07,Compliant
44,7,"Eyewash Station",2024-04-22,2025-12-19,2026-12-19,Compliant
45,7,"SCBA Unit",2025-03-04,2026-04-10,2027-04-10,Compliant
46,7,"Emergency Lighting",2022-06-09,2025-05-04,2026-05-04,Overdue
47,7,"Emergency Lighting",2022-07-16,2025-07-09,2026-07-09,Compliant
48,7,"SCBA Unit",2021-06-05,2025-10-11,2026-10-11,Compliant
49,7,"Emergency Lighting",2020-02-16,2025-10-31,2026-10-31,Compliant
50,7,"Sprinkler System",2023-01-18,2025-01-15,2026-01-15,Overdue
51,7,"Fire Extinguisher",2022-01-28,,2023-01-28,Overdue
52,8,"Fire Alarm Panel",2020-06-01,2026-05-18,2027-05-18,Compliant
53,8,"Exit Sign",2019-02-20,2026-04-26,2027-04-26,Compliant
54,8,"SCBA Unit",2023-12-10,2025-02-22,2026-02-22,Overdue
55,8,"Eyewash Station",2024-05-10,2025-03-08,2026-03-08,Overdue
