InspectionID,EquipmentID,TechnicianID,InspectionDate,Result,DeficienciesFound,Notes
1,1,25,2025-03-08,Pass,0,
2,2,4,2024-09-22,"Pass with Deficiency",3,"Deleniti voluptatum culpa eos ratione magni molestiae qui minima."
3,2,21,2024-05-06,Pass,0,
4,2,2,2025-04-04,"Pass with Deficiency",1,"Soluta nulla nisi culpa debitis possimus numquam temporibus."
5,3,19,2024-12-13,"Pass with Deficiency",4,"Aliquam facilis quaerat voluptas nostrum quibusdam quos doloremque dolores."
6,3,8,2024-12-24,"Pass with Deficiency",2,"Temporibus deserunt perspiciatis necessitatibus ipsam quo quod magnam in."
7,4,10,2026-04-14,Pass,0,
8,4,23,2024-05-23,Pass,0,
9,6,13,2024-09-10,Pass,0,
10,6,4,2025-08-19,Pass,0,
11,6,7,2025-04-10,"Pass with Deficiency",3,"Repellendus reiciendis consequuntur dolorum odit soluta."
12,7,5,2024-03-24,"Pass with Deficiency",4,"Vel quae maiores commodi assumenda cum ipsum maiores rerum at."
13,9,2,2024-05-13,Pass,0,
14,10,7,2025-01-13,Pass,0,
15,10,22,2025-08-25,Pass,0,
16,12,17,2025-08-21,"Pass with Deficiency",3,"Repellendus suscipit ut impedit id fugiat harum."
17,12,16,2025-03-26,Pass,0,
18,12,23,2026-01-19,Fail,4,"Fugiat adipisci ut saepe officiis."
19,13,6,2024-05-10,Pass,0,
20,13,16,2025-12-22,"Pass with Deficiency",2,"Consequuntur enim rerum possimus consequuntur provident."
21,14,17,2024-08-05,Pass,0,
22,14,15,2026-02-03,Pass,0,
23,14,6,2024-05-01,Fail,3,"Nostrum temporibus accusantium dolor corrupti velit non incidunt quod."
24,15,14,2025-01-13,Pass,0,
25,15,19,2025-06-19,Pass,0,
26,15,5,2024-11-08,Pass,0,
27,16,10,2024-01-29,Pass,0,
28,16,5,2025-08-26,Pass,0,
29,17,2,2026-06-29,Fail,3,"Error aliquid in recusandae itaque beatae temporibus."
30,17,10,2026-04-18,Pass,0,
31,18,16,2025-07-14,Pass,0,
32,18,12,2024-02-15,Pass,0,
33,18,14,2024-11-13,Pass,0,
34,19,15,2025-05-01,"Pass with Deficiency",4,"Modi odio nemo quaerat eos a explicabo necessitatibus deleniti pariatur."
35,19,24,2026-02-19,"Pass with Deficiency",2,"Voluptate architecto minima magni voluptates mollitia hic iusto odio voluptatem."
36,19,5,2025-04-16,Pass,0,
37,20,22,2026-06-06,Pass,0,
38,20,24,2026-03-30,Pass,0,
39,21,22,2025-01-31,Pass,0,
40,21,8,2025-07-07,"Pass with Deficiency",3,"Quibusdam explicabo architecto dolores omnis aut neque."
41,21,2,2026-01-23,Fail,4,"Consequatur explicabo excepturi odit rerum placeat voluptatem laboriosam."
42,22,21,2024-06-18,Pass,0,
43,22,23,2025-10-07,Pass,0,
44,23,10,2024-05-06,Pass,0,
45,23,21,2024-07-16,Pass,0,
46,23,20,2026-02-14,Pass,0,
47,24,19,2026-02-07,Pass,0,
48,25,17,2025-11-05,"Pass with Deficiency",1,"Repellat aperiam quod itaque eos aliquam."
49,25,18,2024-01-20,Pass,0,
50,26,7,2025-12-23,Pass,0,
51,26,19,2026-04-06,Pass,0,
52,27,20,2025-08-26,Pass,0,
53,27,2,2024-01-24,Pass,0,
54,27,11,2025-02-28,Pass,0,
55,28,17,2024-09-20,Pass,0,
56,29,4,2024-10-19,Fail,2,"Suscipit et est id repellendus labore."
57,31,6,2024-04-01,Pass,0,
58,32,10,2024-03-01,Fail,2,"Quidem deleniti explicabo quos sint."
59,33,11,2025-12-31,Pass,0,
60,33,2,2024-04-11,Pass,0,
61,33,11,2024-11-27,Pass,0,
62,34,13,2024-02-23,Fail,1,"Earum reiciendis ipsa id ipsam vero excepturi deleniti."
63,34,7,2025-09-03,Pass,0,
64,35,8,2026-02-09,Pass,0,
65,35,17,2024-04-27,Pass,0,
66,35,9,2025-04-20,Pass,0,
67,36,14,2024-01-30,Pass,0,
68,36,14,2026-06-26,Pass,0,
69,36,1,2025-08-23,Pass,0,
70,38,4,2025-07-22,Pass,0,
71,38,21,2025-08-04,"Pass with Deficiency",3,"Facilis reiciendis eaque assumenda incidunt inventore voluptatum debitis eos."
72,38,14,2026-05-16,Pass,0,
73,39,17,2024-05-25,Pass,0,
74,39,12,2024-06-21,Pass,0,
75,39,8,2025-03-09,Pass,0,
76,40,15,2026-04-12,Pass,0,
77,40,15,2025-10-30,Fail,3,"Aspernatur optio esse nobis incidunt."
78,40,6,2025-05-08,Pass,0,
79,41,20,2025-11-27,Pass,0,
80,41,13,2025-08-22,Fail,2,"Expedita aliquam sit explicabo voluptatum earum voluptatem veniam asperiores."
81,42,10,2026-01-26,Pass,0,
82,42,18,2024-11-03,Pass,0,
83,42,3,2024-05-05,Pass,0,
84,43,24,2024-10-13,Pass,0,
85,44,7,2026-04-01,Pass,0,
86,44,11,2025-10-12,"Pass with Deficiency",3,"Facilis reiciendis perspiciatis veritatis consequuntur non quos alias."
